Facility_Id,Facility_Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry_Type,Total
1001555,HAWAII ELECTRIC LIGHT CO (HELCO) - PUNA GENERATING STATION,KEAAU,HI,96749,,HAWAII,19.63,-155.03,Power Plants,19716.93
1007188,MAUI ELECTRIC CO (MECO) - PALAAU GENERATING STATION,KAUNAKAKAI,HI,96748,32A ULILI STREET,MAUI,21.11,-157.06,Power Plants,23408.47
1000216,Kekaha Landfill,Kekaha,HI,96752,600 E Kaumualii Highway,KAUAI,21.98,-159.74,Waste,25000.25
1001595,Kapaa and Kalaheo Sanitary Landfills,Kailua,HI,96734,913 Kalanianaole Hwy,HONOLULU COUNTY,21.39,-157.75,Waste,26429.5
1005313,CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,PUUNENE,HI,96784,1 PULEHU ROAD,MAUI,21.16,-156.87,Waste,29993.25
1004803,Palailai Landfill,Kapolei,HI,96707,91-402 Farrington Highway,HONOLULU,21.35,-158.06,Waste,37858
1007708,CITY & COUNTY OF HONOLULU - WAIMANALO GULCH MSWLF,KAPOLEI,HI,96707,92-460 FARRINGTON HIGHWAY,HONOLULU,21.34,-158.12,Waste,48269
1001768,"KAUAI ISLAND UTILITY COOPERATIVE, PORT ALLEN GENERATING STATION",ELEELE,HI,96705,261-A AKAULA RD,KAUAI COUNTY,21.9,-159.59,Power Plants,84001.34
1001802,HAMAKUA ENERGY PARTNERS,HONOKAA,HI,96727,45-300 LEHUA STREET,HAWAII,20.09,-155.47,Power Plants,86641.68
1001765,KAUAI ISLAND UTILITY COOPERATIVE - KAPAIA POWER STATION,LIHUE,HI,96766,4941-K MAALO RD,KAUAI,21.98,-159.34,Power Plants,113491.96
1001437,MAUI ELECTRIC CO (MECO) - KAHULUI GENERATING STATION,KAHULUI,HI,96732,200 HOBRON LANE,MAUI COUNTY,20.9,-156.46,Power Plants,139574.78
1001557,HAWAII ELECTRIC LIGHT CO (HELCO) - KEAHOLE GENERATING STATION,KAILUA KONA,HI,96740,73-4249 PUKIAWE ST.,HAWAII COUNTY,19.72,-156.03,Power Plants,213781.09
1001552,HAWAII ELECTRIC LIGHT CO (HELCO) - KANOELEHUA HILL GENERATING STATION,HILO,HI,96720,54 HALEKAUILA STREET,HAWAII COUNTY,19.7,-155.06,Power Plants,230658.08
1007914,COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),KAPOLEI,HI,96707,91-174 HANUA ST,HONOLULU,21.3,-158.11,Waste,268494.82
1001438,MAUI ELECTRIC CO (MECO) - MAALAEA GENERATING STATION,KIHEI,HI,96753,1000 NORTH KIHEI ROAD,MAUI,20.8,-156.49,Power Plants,477687.97
1007845,HAWAIIAN ELECTRIC COMPANY (HECO) - WAIAU GENERATING STATION,PEARL CITY,HI,96782,475 KAMEHAMEHA HIGHWAY,HONOLULU,21.39,-157.96,Power Plants,798383.69
1006670,KALAELOA COGENERATION PLANT,KAPOLEI,HI,96707,91-111 KALAELOA BOULEVARD,HONOLULU,21.3,-158.1,Power Plants,846224.39
1005972,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.3,-158.11,Power Plants,1930487.77
1007740,HAWAIIAN ELECTRIC COMPANY (HECO) KAHE GENERATING STATION,Kapolei,HI,96707,92-200 Farrington Highway,HONOLULU,21.36,-158.13,Power Plants,2030521.21
1009839,MidAmerican Energy Company - Bettendorf LNG,Bettendorf,IA,52722,5960 Fenno Road,SCOTT COUNTY,41.54,-90.45,Petroleum and Natural Gas Systems,579.45
1000448,Dayton Avenue Substation,AMES,IA,50010,2300 PULLMAN ST,Story,42.03,-93.58,Power Plants,646.14
1003290,GRIFFIN PIPE PRODUCTS CO,COUNCIL BLUFFS,IA,51501,2601 9TH AVENUE,POTTAWATTAMIE,41.25,-95.89,Metals,683.35
1001556,Streeter Station,CEDAR FALLS,IA,50613,1 UTILITY PARKWAY,Black Hawk,42.53,-92.44,Power Plants,9027.06
1001549,Sutherland,MARSHALLTOWN,IA,50158,3000 E MAIN ST RD,Marshall,42.05,-92.86,Power Plants,9720.97
1001550,Riverside (1081),BETTENDORF,IA,52722,6001 STATE ST,Scott,41.54,-90.45,Power Plants,9767.16
1000520,Sycamore Combustion Turbine,JOHNSTON,IA,50323,6141 NW BEAVER DR,Polk,41.67,-93.68,Power Plants,9969.4
1000498,Summit Lake,CRESTON,IA,50801,1632 REA RD,Union,41.11,-94.35,Power Plants,10076.51
1001546,Dubuque,DUBUQUE,IA,52004,920 KERPER ROAD,Dubuque,42.51,-90.65,Power Plants,10310.46
1000521,Electrifarm,WATERLOO,IA,50701,3233 WEST SHAULIS RD,Black Hawk,42.44,-92.42,Power Plants,11166.21
1007301,Milton L Kapp,CLINTON,IA,52733,2001 BEAVER CHANNEL PARKWAY,Clinton,41.81,-90.23,Power Plants,11313.31
1001570,Earl F Wisdom,SPENCER,IA,51301,3365 165 AVE,Clay,43.16,-95.26,Power Plants,12616.45
1000202,"NGPL Station 198 Knoxville, IA",KNOXVILLE,IA,50138,1616 165TH AVE,MARION,41.29,-93.03,Petroleum and Natural Gas Systems,16359.5
1001902,JOHN DEERE DUBUQUE WORKS,DUBUQUE,IA,52001,18600 SOUTH JOHN DEERE ROAD,DUBUQUE,42.57,-90.69,Other,17338.88
1002070,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,CARROLL,41.92,-95.07,Other,17900.03
1011658,Oakland Compressor Station,Oakland,IA,51560,46299 Highway 6,POTTAWATTAMIE COUNTY,41.32,-95.3,Petroleum and Natural Gas Systems,19025.81
1001079,Pleasant Hill Energy Center,PLEASANT HILL,IA,50317,3191 SE 45 ST,Polk,41.56,-93.52,Power Plants,19348.48
1002069,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,PALO ALTO COUNTY,43.1,-94.65,Other,22163.92
1010660,"NGPL Station 204 Columbus Junction, IA",Columbus Junction,IA,52738,21864 120th Street ,LOUISA,41.23,-91.35,Petroleum and Natural Gas Systems,22175.99
1011633,Nestle Purina Petcare Co.,Davenport,IA,52802,607 Schmidt Road,SCOTT COUNTY,41.51,-90.61,Other,25110.25
